Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
265,Rice Owls,32.0,63.8,22.4,52.8,42.4,6.8,17.8,38.2,12.1,17.6,68.9,9.1,22.8,31.9,13.8,4.8,2.2,13.3,18.3
266,Fairleigh Dickinson Knights,30.0,63.6,22.5,53.8,41.8,4.1,14.6,28.1,14.5,22.8,63.6,11.5,20.6,32.1,11.2,5.8,4.4,17.0,17.2
267,Eastern Washington Eagles,30.0,63.5,23.0,54.9,41.8,5.5,17.0,32.4,12.1,17.5,69.1,10.7,21.5,32.1,11.7,5.8,2.1,12.7,19.1
268,Central Arkansas Bears,29.0,63.5,21.6,54.0,40.0,5.5,16.9,32.6,14.7,22.3,66.1,11.5,23.2,34.7,11.0,5.6,3.2,13.6,18.4
269,Northwestern Wildcats,31.0,63.5,22.5,50.6,44.5,8.2,21.3,38.6,10.3,14.9,69.0,8.6,19.7,28.3,15.2,7.3,2.9,11.2,17.9
270,Southern Illinois Salukis,31.0,63.4,21.5,51.5,41.9,6.2,16.5,37.6,14.1,19.6,72.2,10.5,21.4,31.9,12.9,6.3,2.4,14.9,21.3
271,Mississippi Valley State Delta Devils,32.0,63.4,22.2,57.8,38.4,6.2,19.0,32.3,12.9,19.0,67.9,12.8,20.9,33.6,11.2,7.5,1.6,15.4,22.4
272,Loyola Chicago Ramblers,32.0,63.3,22.8,56.1,40.7,4.9,15.8,31.2,12.7,18.7,67.9,13.1,21.2,34.2,11.9,6.8,3.5,13.0,17.8
273,Yale Bulldogs,28.0,63.3,23.1,51.7,44.6,3.6,12.1,29.6,13.6,20.5,66.2,10.4,23.0,33.4,13.4,6.9,3.1,15.5,18.9
274,Louisiana Tech Bulldogs,33.0,63.3,21.8,50.1,43.6,5.5,14.9,37.1,14.1,21.3,66.2,11.4,22.1,33.5,10.5,5.5,3.3,15.3,17.7
