Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
232,Toledo Rockets,34.0,74.5,27.7,63.4,43.7,7.1,20.7,34.3,12.0,16.4,73.2,10.7,24.4,35.1,10.8,6.1,3.4,9.5,18.4
233,Coppin State Eagles,32.0,74.5,25.3,59.3,42.7,7.7,22.9,33.7,16.2,22.3,72.5,11.8,29.8,41.6,14.0,5.7,3.2,12.6,15.4
234,Boston College Eagles,35.0,74.6,26.8,60.3,44.5,8.8,24.4,36.1,12.1,16.3,74.4,9.6,25.3,34.9,13.8,5.6,3.1,12.4,17.5
235,Alcorn State Braves,32.0,74.6,25.3,58.3,43.3,8.3,23.9,34.7,15.8,22.4,70.4,11.4,25.4,36.8,14.6,6.3,3.2,13.1,17.4
236,LSU Tigers,33.0,74.6,26.5,58.2,45.5,8.4,23.8,35.3,13.2,19.0,69.6,10.9,23.3,34.2,12.7,5.6,3.4,13.6,18.0
237,Cleveland State Vikings,35.0,74.7,26.7,58.6,45.6,8.3,23.2,35.5,12.9,18.1,71.4,11.4,26.7,38.1,15.1,5.3,3.3,14.0,16.8
238,Massachusetts Minutemen,33.0,74.7,26.6,58.4,45.6,6.9,19.8,34.7,14.5,19.4,75.0,10.0,24.3,34.3,15.9,6.3,3.3,11.4,15.3
239,Xavier Musketeers,35.0,74.7,27.0,62.6,43.1,8.6,25.8,33.4,12.2,16.1,76.0,8.5,22.7,31.2,14.1,6.8,3.6,11.5,20.9
240,Morgan State Bears,32.0,74.8,25.3,56.5,44.7,7.5,21.7,34.7,16.8,23.9,70.2,10.7,25.5,36.2,14.4,6.2,3.8,14.8,21.4
241,Arizona State Sun Devils,32.0,74.8,26.3,60.0,43.8,8.2,23.9,34.2,14.1,19.6,71.8,11.2,25.4,36.6,15.0,5.4,3.5,14.8,21.5
242,VCU Rams,33.0,74.8,27.2,60.4,45.0,7.8,22.3,35.1,12.7,17.7,71.5,9.6,25.4,35.0,14.2,7.0,2.6,12.9,16.7
243,Grambling Tigers,31.0,74.9,25.5,58.7,43.5,6.7,21.2,31.8,17.0,25.1,67.9,11.6,26.0,37.6,12.8,6.5,4.6,15.0,20.9
244,Stanford Cardinal,35.0,74.9,27.3,62.9,43.3,8.0,22.7,35.1,12.4,18.4,67.5,10.3,23.2,33.4,13.0,6.8,4.4,11.6,20.0
245,East Carolina Pirates,30.0,74.9,27.3,60.3,45.2,7.5,21.2,35.3,12.8,18.7,68.5,11.7,25.3,36.9,15.9,6.6,3.4,12.0,16.1
246,Loyola Maryland Greyhounds,31.0,75.0,26.0,55.3,47.0,7.3,20.3,36.0,15.8,21.7,72.7,8.5,25.7,34.2,13.0,6.1,4.9,13.4,18.0
247,NC State Wolfpack,33.0,75.1,27.5,59.2,46.5,6.0,19.1,31.6,14.0,19.9,70.3,11.0,24.2,35.2,13.8,6.2,4.0,14.8,18.2
248,Minnesota Golden Gophers,32.0,75.1,27.4,62.5,43.8,8.4,22.3,37.5,11.9,16.9,70.5,11.1,27.1,38.2,15.7,5.5,4.8,11.4,18.6
249,UTSA Roadrunners,35.0,75.1,25.1,60.3,41.6,8.3,24.1,34.4,16.6,24.4,67.9,10.0,28.1,38.1,12.7,5.2,3.4,12.3,17.4
250,Siena Saints,32.0,75.2,25.6,57.2,44.7,7.1,20.2,34.9,16.9,24.1,70.2,10.1,24.1,34.2,13.0,6.7,3.3,10.9,18.5
251,Jacksonville Dolphins,33.0,75.2,27.5,61.9,44.4,7.5,23.9,31.3,12.8,17.3,73.7,10.4,26.6,36.9,13.4,6.8,3.6,14.1,17.6
252,Northern Illinois Huskies,32.0,75.2,26.9,58.3,46.2,8.6,23.8,35.9,12.8,18.5,69.4,10.1,24.8,34.9,14.7,4.8,4.1,12.5,17.8
253,Maine Black Bears,32.0,75.3,26.0,59.3,43.9,8.0,23.6,33.8,15.2,21.4,71.0,11.0,27.8,38.7,13.8,7.4,3.5,13.6,16.4
254,San José State Spartans,30.0,75.3,26.0,59.5,43.8,10.1,28.9,34.9,13.2,18.1,72.7,8.7,23.5,32.2,16.4,7.4,3.4,10.6,18.3
255,Akron Zips,32.0,75.3,25.9,56.2,46.1,8.0,22.5,35.6,15.6,21.5,72.3,9.4,25.2,34.6,13.2,6.3,3.6,12.8,17.3
256,Nicholls Colonels,32.0,75.3,25.8,58.4,44.1,6.4,19.2,33.5,17.4,25.6,67.9,10.9,25.2,36.1,12.9,7.0,3.7,17.3,18.7
257,TCU Horned Frogs,33.0,75.4,27.1,59.3,45.7,7.9,21.1,37.6,13.2,18.1,73.1,8.9,21.4,30.3,15.5,6.2,4.3,12.4,18.5
258,James Madison Dukes,32.0,75.4,25.3,56.4,45.0,8.1,22.2,36.6,16.6,23.3,71.4,9.7,26.5,36.2,14.3,5.8,3.3,13.3,18.8
259,Iowa State Cyclones,31.0,75.5,27.6,62.5,44.2,8.4,24.8,33.9,11.8,16.5,71.3,11.4,26.1,37.5,14.4,6.0,3.5,11.5,17.8
